sample,time_utc,cpu_busy_pct,mem_used_pct,load1,note
1,13:28:08,0.2,36.7,0.00,
2,13:28:13,0.3,36.7,0.00,
3,13:28:18,0.2,36.7,0.00,
4,13:28:23,0.2,36.7,0.00,
5,13:28:28,0.2,36.7,0.00,
6,13:28:33,0.3,36.7,0.00,
7,13:28:38,0.1,36.7,0.00,
8,13:28:43,0.2,36.7,0.00,
9,13:28:48,0.3,36.7,0.00,
10,13:28:53,0.2,36.7,0.00,
11,13:28:58,0.1,36.7,0.00,
12,13:29:03,0.7,36.7,0.00,
13,13:29:08,0.0,36.8,0.00,
14,13:29:13,0.4,36.8,0.00,
15,13:29:18,99.9,36.8,0.16,LOAD BURST STARTED
16,13:29:23,100.0,36.8,0.31,
17,13:29:28,100.0,36.8,0.44,
18,13:29:33,100.0,36.8,0.57,
19,13:29:38,100.0,36.8,0.68,
20,13:29:43,100.0,36.8,0.79,
21,13:29:48,100.0,36.8,0.89,
22,13:29:53,95.2,36.7,0.97,
23,13:29:58,0.1,36.7,0.90,
24,13:30:03,2.5,36.7,0.82,
25,13:30:08,0.3,36.8,0.76,
26,13:30:13,0.1,36.8,0.70,
27,13:30:18,0.2,36.8,0.64,
28,13:30:23,0.2,36.8,0.59,
29,13:30:28,0.3,36.8,0.54,
30,13:30:33,0.2,36.8,0.50,
31,13:30:38,0.0,36.8,0.46,
32,13:30:43,0.2,36.8,0.42,
33,13:30:48,0.3,36.8,0.39,
34,13:30:53,0.2,36.8,0.36,
35,13:30:58,0.1,36.8,0.33,
36,13:31:03,1.4,36.8,0.30,
